pedido_id,route_id,stop_id,station_code,fecha,hora_salida_utc,tipo_parada,lat,lng,zone_id,distancia_deposito_km,num_paquetes,volumen_total_m3,volumen_promedio_m3,tiempo_servicio_seg,tiene_ventana_horaria,duracion_ventana_min,secuencia_real,capacidad_vehiculo_m3,retrasado_estimado
AMZ-00042,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,FM,DLA3,2018-08-03,15:30:00,Dropoff,34.089095,-118.274866,A-5.3C,15.104,1,0.0057,0.0057,56.0,1,480.0,27,3.3131,0
AMZ-00043,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,FY,DLA3,2018-08-03,15:30:00,Dropoff,34.093365,-118.277444,A-3.2C,15.58,1,0.0133,0.0133,39.0,0,0.0,51,3.3131,0
AMZ-00044,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,GL,DLA3,2018-08-03,15:30:00,Dropoff,34.086063,-118.272993,A-5.1C,14.764,2,0.007,0.0035,18.0,0,0.0,10,3.3131,0
AMZ-00045,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,GN,DLA3,2018-08-03,15:30:00,Dropoff,34.082202,-118.281922,A-3.3A,15.195,5,0.0654,0.0131,22.4,1,480.0,148,3.3131,1
AMZ-00046,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,GQ,DLA3,2018-08-03,15:30:00,Dropoff,34.085125,-118.274696,A-5.2C,14.83,2,0.0417,0.0209,64.0,1,480.0,20,3.3131,0
AMZ-00047,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,GT,DLA3,2018-08-03,15:30:00,Dropoff,34.087705,-118.280824,A-3.1B,15.456,1,0.0034,0.0034,75.0,1,480.0,77,3.3131,0
AMZ-00048,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,GV,DLA3,2018-08-03,15:30:00,Dropoff,34.091958,-118.278147,A-3.2C,15.537,5,0.08,0.016,33.0,0,0.0,53,3.3131,1
AMZ-00049,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,GW,DLA3,2018-08-03,15:30:00,Dropoff,34.087531,-118.271847,A-5.2D,14.777,1,0.0005,0.0005,45.0,0,0.0,101,3.3131,0
AMZ-00050,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,GZ,DLA3,2018-08-03,15:30:00,Dropoff,34.089776,-118.273954,A-5.3D,15.082,1,0.0092,0.0092,73.0,0,0.0,90,3.3131,0
AMZ-00051,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,HE,DLA3,2018-08-03,15:30:00,Dropoff,34.09259,-118.268413,A-4.1D,14.877,1,0.0044,0.0044,89.0,0,0.0,107,3.3131,0
AMZ-00052,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,HG,DLA3,2018-08-03,15:30:00,Dropoff,34.087699,-118.274673,A-5.3C,14.996,1,0.0289,0.0289,54.0,0,0.0,31,3.3131,0
AMZ-00053,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,HH,DLA3,2018-08-03,15:30:00,Dropoff,34.085264,-118.272042,A-5.1B,14.641,5,0.0205,0.0041,29.0,0,0.0,5,3.3131,0
AMZ-00054,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,HJ,DLA3,2018-08-03,15:30:00,Dropoff,34.091363,-118.279835,A-3.3D,15.621,6,0.1557,0.026,47.0,0,0.0,58,3.3131,1
AMZ-00055,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,HK,DLA3,2018-08-03,15:30:00,Dropoff,34.093009,-118.275081,A-4.2C,15.385,2,0.0336,0.0168,52.5,1,480.0,40,3.3131,0
AMZ-00056,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,HM,DLA3,2018-08-03,15:30:00,Dropoff,34.093237,-118.272256,A-4.2C,15.197,2,0.0196,0.0098,51.0,0,0.0,35,3.3131,0
AMZ-00057,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,HV,DLA3,2018-08-03,15:30:00,Dropoff,34.093191,-118.275687,A-4.2C,15.441,1,0.0023,0.0023,26.0,1,480.0,39,3.3131,0
AMZ-00058,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,IL,DLA3,2018-08-03,15:30:00,Dropoff,34.087964,-118.281983,A-3.2D,15.56,1,0.0034,0.0034,53.0,0,0.0,64,3.3131,0
AMZ-00059,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,IR,DLA3,2018-08-03,15:30:00,Dropoff,34.09383,-118.273592,A-4.2C,15.334,1,0.0028,0.0028,50.0,0,0.0,41,3.3131,0
AMZ-00060,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,JA,DLA3,2018-08-03,15:30:00,Dropoff,34.084935,-118.276569,A-4.2A,14.958,4,0.0608,0.0152,34.8,0,0.0,128,3.3131,0
AMZ-00061,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,JB,DLA3,2018-08-03,15:30:00,Dropoff,34.094795,-118.276977,A-3.2C,15.645,2,0.0305,0.0152,35.5,0,0.0,52,3.3131,0
AMZ-00062,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,JK,DLA3,2018-08-03,15:30:00,Dropoff,34.087799,-118.274548,A-5.3C,14.994,1,0.0013,0.0013,112.0,0,0.0,24,3.3131,0
AMZ-00063,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,JN,DLA3,2018-08-03,15:30:00,Dropoff,34.084784,-118.274534,A-5.2C,14.795,2,0.0416,0.0208,72.5,1,420.0,19,3.3131,0
AMZ-00064,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,JU,DLA3,2018-08-03,15:30:00,Dropoff,34.09087,-118.276204,A-4.1B,15.321,2,0.0856,0.0428,59.5,0,0.0,88,3.3131,0
AMZ-00065,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,JV,DLA3,2018-08-03,15:30:00,Dropoff,34.083695,-118.276457,A-4.3A,14.87,1,0.0079,0.0079,52.0,0,0.0,124,3.3131,0
AMZ-00066,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,JZ,DLA3,2018-08-03,15:30:00,Dropoff,34.092814,-118.267801,A-4.2D,14.85,1,0.0429,0.0429,76.0,0,0.0,116,3.3131,0
AMZ-00067,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,KC,DLA3,2018-08-03,15:30:00,Dropoff,34.08578,-118.278701,A-3.2A,15.173,1,0.0032,0.0032,129.0,0,0.0,140,3.3131,0
AMZ-00068,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,KD,DLA3,2018-08-03,15:30:00,Dropoff,34.085627,-118.285889,A-3.1D,15.71,1,0.0077,0.0077,46.0,0,0.0,67,3.3131,0
AMZ-00069,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,KR,DLA3,2018-08-03,15:30:00,Dropoff,34.083074,-118.280089,A-3.2A,15.108,4,0.0219,0.0055,23.8,0,0.0,143,3.3131,1
AMZ-00070,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,KS,DLA3,2018-08-03,15:30:00,Dropoff,34.09262,-118.269565,A-4.2D,14.961,1,0.0034,0.0034,27.0,0,0.0,115,3.3131,0
AMZ-00071,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,KT,DLA3,2018-08-03,15:30:00,Dropoff,34.092813,-118.273168,A-4.2C,15.233,1,0.0057,0.0057,30.0,0,0.0,37,3.3131,0
AMZ-00072,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,KU,DLA3,2018-08-03,15:30:00,Dropoff,34.084428,-118.281032,A-3.1A,15.264,1,0.0242,0.0242,26.0,0,0.0,136,3.3131,0
AMZ-00073,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,LA,DLA3,2018-08-03,15:30:00,Dropoff,34.086353,-118.282013,A-3.2B,15.459,3,0.0202,0.0067,31.3,1,480.0,74,3.3131,1
AMZ-00074,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,LE,DLA3,2018-08-03,15:30:00,Dropoff,34.09194,-118.275514,A-4.1B,15.343,2,0.0067,0.0034,20.0,0,0.0,89,3.3131,0
AMZ-00075,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,LU,DLA3,2018-08-03,15:30:00,Dropoff,34.08856,-118.273828,A-5.3D,14.991,1,0.0005,0.0005,20.0,0,0.0,97,3.3131,0
AMZ-00076,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,LW,DLA3,2018-08-03,15:30:00,Dropoff,34.085743,-118.282399,A-3.2B,15.45,2,0.003,0.0015,46.0,0,0.0,73,3.3131,0
AMZ-00077,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,LY,DLA3,2018-08-03,15:30:00,Dropoff,34.091217,-118.268835,A-5.1D,14.811,1,0.0057,0.0057,26.0,0,0.0,106,3.3131,0
AMZ-00078,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,MC,DLA3,2018-08-03,15:30:00,Dropoff,34.087148,-118.281299,A-3.2B,15.456,2,0.0104,0.0052,58.0,0,0.0,76,3.3131,0
AMZ-00079,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,MO,DLA3,2018-08-03,15:30:00,Dropoff,34.090266,-118.274103,A-4.3C,15.126,1,0.0015,0.0015,112.0,0,0.0,30,3.3131,0
AMZ-00080,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,MR,DLA3,2018-08-03,15:30:00,Dropoff,34.089686,-118.278278,A-3.1C,15.395,2,0.0128,0.0064,43.5,0,0.0,85,3.3131,0
AMZ-00081,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,MV,DLA3,2018-08-03,15:30:00,Dropoff,34.090351,-118.276535,A-4.1B,15.31,4,0.0374,0.0094,40.2,1,420.0,87,3.3131,1
AMZ-00082,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,NA,DLA3,2018-08-03,15:30:00,Dropoff,34.091692,-118.271904,A-4.3D,15.064,3,0.0604,0.0201,36.0,0,0.0,119,3.3131,1
AMZ-00083,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,NB,DLA3,2018-08-03,15:30:00,Dropoff,34.088594,-118.27005,A-5.1B,14.717,1,0.0092,0.0092,31.0,0,0.0,3,3.3131,0
AMZ-00084,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,NE,DLA3,2018-08-03,15:30:00,Dropoff,34.090418,-118.279123,A-3.1C,15.506,1,0.0034,0.0034,135.0,0,0.0,82,3.3131,0
AMZ-00085,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,NG,DLA3,2018-08-03,15:30:00,Dropoff,34.088413,-118.279075,A-4.1A,15.37,1,0.0034,0.0034,73.0,0,0.0,131,3.3131,0
AMZ-00086,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,NI,DLA3,2018-08-03,15:30:00,Dropoff,34.08972,-118.270628,A-5.1D,14.836,1,0.0092,0.0092,31.0,0,0.0,104,3.3131,0
AMZ-00087,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,NZ,DLA3,2018-08-03,15:30:00,Dropoff,34.083872,-118.280256,A-3.3A,15.17,1,0.0092,0.0092,45.0,0,0.0,145,3.3131,0
AMZ-00088,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,OC,DLA3,2018-08-03,15:30:00,Dropoff,34.086194,-118.274275,A-5.2C,14.868,1,0.0179,0.0179,41.0,0,0.0,22,3.3131,0
AMZ-00089,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,OE,DLA3,2018-08-03,15:30:00,Dropoff,34.088335,-118.273777,A-5.3D,14.973,1,0.0226,0.0226,25.0,0,0.0,92,3.3131,0
AMZ-00090,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,OL,DLA3,2018-08-03,15:30:00,Dropoff,34.08923,-118.279872,A-3.1B,15.483,3,0.0096,0.0032,25.0,0,0.0,79,3.3131,1
AMZ-00091,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,OT,DLA3,2018-08-03,15:30:00,Dropoff,34.085598,-118.280077,A-3.1A,15.265,2,0.0144,0.0072,56.0,1,480.0,138,3.3131,0
AMZ-00092,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,OZ,DLA3,2018-08-03,15:30:00,Dropoff,34.090328,-118.280496,A-3.3D,15.602,3,0.0095,0.0032,33.3,0,0.0,59,3.3131,1
AMZ-00093,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,PL,DLA3,2018-08-03,15:30:00,Dropoff,34.093317,-118.269744,A-4.2D,15.023,1,0.0043,0.0043,35.0,0,0.0,114,3.3131,0
AMZ-00094,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,PS,DLA3,2018-08-03,15:30:00,Dropoff,34.094722,-118.277867,A-3.3C,15.704,2,0.0426,0.0213,58.5,0,0.0,56,3.3131,0
AMZ-00095,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,PU,DLA3,2018-08-03,15:30:00,Dropoff,34.092302,-118.268628,A-4.1D,14.872,4,0.0221,0.0055,13.5,0,0.0,108,3.3131,0
AMZ-00096,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,PX,DLA3,2018-08-03,15:30:00,Dropoff,34.094869,-118.269902,A-4.3D,15.145,1,0.0034,0.0034,61.0,0,0.0,118,3.3131,0
AMZ-00097,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,QA,DLA3,2018-08-03,15:30:00,Dropoff,34.090289,-118.270339,A-5.1D,14.854,1,0.0031,0.0031,27.0,1,480.0,105,3.3131,0
AMZ-00098,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,QD,DLA3,2018-08-03,15:30:00,Dropoff,34.085186,-118.282745,A-3.2B,15.442,1,0.0057,0.0057,82.0,0,0.0,72,3.3131,0
AMZ-00099,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,QL,DLA3,2018-08-03,15:30:00,Dropoff,34.095211,-118.273379,A-4.2C,15.416,1,0.0026,0.0026,55.0,0,0.0,42,3.3131,0
AMZ-00100,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,QP,DLA3,2018-08-03,15:30:00,Dropoff,34.085623,-118.284891,A-3.1D,15.633,1,0.003,0.003,74.0,0,0.0,68,3.3131,0
AMZ-00101,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,QT,DLA3,2018-08-03,15:30:00,Dropoff,34.089141,-118.272392,A-5.2D,14.925,1,0.0104,0.0104,171.0,0,0.0,99,3.3131,0
AMZ-00102,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,RA,DLA3,2018-08-03,15:30:00,Dropoff,34.088653,-118.272258,A-5.2D,14.882,1,0.0043,0.0043,77.0,0,0.0,100,3.3131,0
AMZ-00103,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,RR,DLA3,2018-08-03,15:30:00,Dropoff,34.088408,-118.281708,A-3.2D,15.567,1,0.0024,0.0024,75.0,0,0.0,63,3.3131,0
AMZ-00104,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,SK,DLA3,2018-08-03,15:30:00,Dropoff,34.084049,-118.283455,A-3.3B,15.426,2,0.0147,0.0073,39.0,0,0.0,70,3.3131,0
AMZ-00105,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,SP,DLA3,2018-08-03,15:30:00,Dropoff,34.088922,-118.281383,A-3.3D,15.576,4,0.0875,0.0219,32.5,0,0.0,62,3.3131,1
AMZ-00106,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,SQ,DLA3,2018-08-03,15:30:00,Dropoff,34.087003,-118.274668,A-5.3C,14.95,1,0.0017,0.0017,83.0,0,0.0,23,3.3131,0
AMZ-00107,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,TF,DLA3,2018-08-03,15:30:00,Dropoff,34.088078,-118.280591,A-3.1B,15.462,1,0.0057,0.0057,62.0,0,0.0,78,3.3131,0
AMZ-00108,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,TH,DLA3,2018-08-03,15:30:00,Dropoff,34.085925,-118.272633,A-5.1C,14.728,1,0.0057,0.0057,38.0,0,0.0,12,3.3131,0
AMZ-00109,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,TM,DLA3,2018-08-03,15:30:00,Dropoff,34.089279,-118.281162,A-3.3D,15.583,1,0.0036,0.0036,56.0,0,0.0,61,3.3131,0
AMZ-00110,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,TP,DLA3,2018-08-03,15:30:00,Dropoff,34.0835,-118.279794,A-3.2A,15.112,2,0.01,0.005,29.0,0,0.0,142,3.3131,0
AMZ-00111,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,TQ,DLA3,2018-08-03,15:30:00,Dropoff,34.0862,-118.276765,A-4.2A,15.054,2,0.0031,0.0015,18.0,0,0.0,129,3.3131,0
AMZ-00112,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,TS,DLA3,2018-08-03,15:30:00,Dropoff,34.089945,-118.271539,A-4.1D,14.918,1,0.0057,0.0057,42.0,0,0.0,109,3.3131,0
AMZ-00113,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,TW,DLA3,2018-08-03,15:30:00,Dropoff,34.088802,-118.274095,A-5.3D,15.027,3,0.0106,0.0035,34.3,0,0.0,91,3.3131,1
AMZ-00114,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,TX,DLA3,2018-08-03,15:30:00,Dropoff,34.092963,-118.277504,A-3.2C,15.557,1,0.0011,0.0011,36.0,0,0.0,50,3.3131,0
AMZ-00115,RouteID_01ac92ea-734c-4c80-8049-77b813c6a02b,UC,DLA3,2018-08-03,15:30:00,Dropoff,34.086953,-118.272826,A-5.1C,14.81,1,0.0028,0.0028,16.0,0,0.0,9,3.3131,0
