pedido_id,distancia_km,volumen_m3,prioridad,ventana_min,cadena_frio,hora_pico,zona_rural,trafico_index,retrasado
PED-00034,3.59,0.181,media,99,0,0,1,0.56,0
PED-00035,20.23,0.1004,media,118,0,1,0,0.199,0
PED-00036,12.08,0.4382,baja,221,0,1,1,0.7,1
PED-00037,6.03,0.37,media,111,0,1,0,0.216,0
PED-00038,5.99,0.1429,media,217,0,1,0,0.553,0
PED-00039,14.28,0.1091,media,36,0,0,1,0.97,1
PED-00040,24.28,0.534,media,125,1,1,1,0.336,1
PED-00041,18.19,0.0962,media,202,0,1,0,0.001,0
PED-00042,8.2,0.4469,media,111,0,0,0,0.715,0
PED-00043,6.63,0.0863,alta,127,1,0,0,0.218,0
PED-00044,15.55,0.5014,alta,232,1,0,0,0.721,0
PED-00045,8.19,0.4992,baja,66,0,1,0,0.506,1
PED-00046,17.38,0.0754,media,174,1,1,0,0.84,1
PED-00047,14.77,0.3124,baja,195,1,1,1,0.536,1
PED-00048,6.03,0.1773,media,158,1,0,0,0.419,0
PED-00049,15.18,0.1984,baja,164,1,1,0,0.434,0
PED-00050,12.51,0.07,media,117,0,0,1,0.126,0
PED-00051,11.9,0.4624,baja,168,0,0,0,0.18,0
PED-00052,15.19,0.2184,media,135,0,1,0,0.673,0
PED-00053,9.66,0.1737,media,54,1,1,0,0.873,1
PED-00054,11.84,0.3728,media,42,1,0,0,0.329,0
PED-00055,18.84,0.296,alta,198,1,0,0,0.471,0
PED-00056,2.37,0.2035,alta,67,1,1,1,0.84,1
PED-00057,4.35,0.1506,media,42,0,0,0,0.89,0
PED-00058,6.65,0.0703,alta,112,1,0,0,0.32,0
PED-00059,20.64,0.337,media,60,0,1,0,0.908,1
PED-00060,24.57,0.0674,baja,141,1,1,0,0.618,1
PED-00061,6.99,0.3117,media,146,0,0,0,0.895,0
PED-00062,5.52,0.1744,media,44,1,1,0,0.353,0
PED-00063,20.62,0.0352,alta,131,1,0,0,0.73,0
PED-00064,10.57,0.2412,media,150,1,0,1,0.584,1
PED-00065,6.62,0.0778,media,174,0,1,0,0.601,0
PED-00066,23.25,0.1921,media,232,0,1,1,0.344,0
PED-00067,12.43,0.368,media,66,0,0,0,0.265,0
PED-00068,5.88,0.2713,alta,63,1,0,1,0.343,1
PED-00069,8.35,0.0841,alta,133,0,1,0,0.673,1
PED-00070,4.85,0.3396,media,136,0,0,1,0.884,0
PED-00071,6.08,0.1752,media,122,0,1,0,0.121,0
PED-00072,9.72,0.5653,media,203,0,1,0,0.502,0
PED-00073,23.1,0.2425,media,81,0,0,0,0.217,0
PED-00074,6.63,0.1389,baja,105,0,1,0,0.588,0
PED-00075,9.65,0.5344,media,154,0,0,0,0.8,0
PED-00076,9.11,0.1628,media,188,1,0,0,0.64,0
PED-00077,4.9,0.0795,alta,36,0,1,1,0.883,1
PED-00078,5.68,0.2142,alta,39,0,0,0,0.212,0
PED-00079,17.35,0.3475,alta,51,0,0,0,0.588,0
PED-00080,11.37,0.0372,media,92,0,0,0,0.155,1
PED-00081,7.72,0.3286,media,212,0,1,0,0.164,0
PED-00082,20.37,0.3279,baja,180,0,1,0,0.872,1
PED-00083,10.33,0.2023,media,185,1,0,0,0.067,0
PED-00084,8.21,0.1439,media,135,0,0,0,0.852,0
PED-00085,5.47,0.4339,baja,149,0,1,0,0.098,0
PED-00086,12.98,0.2532,baja,70,0,0,0,0.392,0
PED-00087,6.85,0.3524,media,167,0,0,0,0.679,0
PED-00088,12.2,0.0531,alta,112,0,1,1,0.049,1
PED-00089,11.45,0.1922,alta,100,1,1,1,0.652,1
PED-00090,13.35,0.5439,media,156,0,0,0,0.992,0
PED-00091,9.45,0.0446,baja,188,0,1,0,0.541,0
PED-00092,8.79,0.0875,alta,189,0,0,0,0.324,0
PED-00093,9.99,0.1001,media,158,1,1,0,0.439,0
PED-00094,23.98,0.5046,alta,43,1,1,0,0.947,1
PED-00095,19.49,0.4282,media,84,0,1,0,0.094,0
PED-00096,24.4,0.1457,media,62,1,0,0,0.768,0
PED-00097,7.96,0.2207,baja,129,0,0,0,0.516,0
PED-00098,10.87,0.1617,media,159,0,1,0,0.585,0
PED-00099,12.51,0.0562,baja,73,0,1,1,0.544,1
PED-00100,2.8,0.1646,media,203,0,1,0,0.804,0
PED-00101,4.98,0.1046,baja,184,0,0,1,0.234,1
PED-00102,13.66,0.4393,media,86,0,0,0,0.264,0
PED-00103,5.65,0.3367,media,211,0,1,0,0.819,1
PED-00104,12.0,0.1275,baja,110,1,0,1,0.575,0
PED-00105,17.92,0.2519,alta,111,0,1,1,0.282,1
PED-00106,24.85,0.3006,media,210,0,0,0,0.8,0
PED-00107,9.12,0.3854,media,56,1,1,0,0.251,1
PED-00108,13.93,0.2326,alta,239,0,0,0,0.255,0
PED-00109,4.67,0.1507,baja,223,0,0,0,0.891,0
PED-00110,4.81,0.4456,media,115,0,1,1,0.611,1
PED-00111,16.71,0.4506,media,69,0,0,0,0.845,0
PED-00112,7.78,0.0716,media,91,0,0,0,0.604,1
PED-00113,17.95,0.1751,baja,106,0,0,0,0.251,0
PED-00114,6.43,0.199,media,93,0,1,0,0.471,0
PED-00115,14.76,0.0483,baja,102,1,1,0,0.525,1
PED-00116,20.35,0.1016,media,137,0,0,1,0.146,0
PED-00117,22.82,0.1802,media,46,1,0,0,0.221,0
PED-00118,11.26,0.0849,media,149,1,0,1,0.263,0
PED-00119,7.34,0.1402,alta,38,0,0,1,0.846,1
PED-00120,13.37,0.1898,media,144,1,1,0,0.253,0
PED-00121,6.94,0.0612,media,89,0,0,0,0.198,0
PED-00122,20.04,0.2227,baja,99,0,0,0,0.963,0
PED-00123,25.76,0.0652,baja,36,0,0,0,0.423,0
PED-00124,8.16,0.0556,alta,104,1,0,0,0.218,0
PED-00125,20.28,0.106,baja,214,0,1,0,0.297,0
PED-00126,16.57,0.4443,media,158,0,0,1,0.61,0
PED-00127,6.94,0.0535,alta,171,1,1,0,0.302,0
PED-00128,7.41,0.0524,media,108,1,0,0,0.351,0
PED-00129,5.57,0.2295,baja,68,0,1,0,0.545,0
PED-00130,17.0,0.0718,baja,234,1,0,0,0.947,0
PED-00131,17.51,0.1382,media,197,0,1,0,0.537,0
PED-00132,10.44,0.07,alta,80,0,1,1,0.082,1
PED-00133,4.2,0.2338,alta,63,0,1,0,0.831,0
PED-00134,6.82,0.4287,media,212,0,0,0,0.509,0
PED-00135,17.91,0.1555,alta,32,1,0,0,0.933,1
PED-00136,18.52,0.1789,media,210,0,0,0,0.582,0
PED-00137,7.0,0.3484,baja,195,0,0,0,0.34,0
PED-00138,8.48,0.2244,baja,156,0,1,0,0.922,0
PED-00139,14.69,0.2818,alta,81,1,1,0,0.622,1
PED-00140,9.12,0.1814,media,115,1,1,0,0.572,0
PED-00141,15.93,0.1043,media,78,1,0,0,0.266,0
PED-00142,6.5,0.2452,alta,155,1,0,0,0.459,0
PED-00143,6.49,0.1627,baja,135,0,1,0,0.883,0
PED-00144,9.76,0.3825,media,140,0,1,0,0.065,0
PED-00145,12.36,0.1067,baja,201,0,1,0,0.53,0
PED-00146,17.51,0.1837,alta,154,0,1,1,0.528,1
PED-00147,25.9,0.0878,media,213,0,0,0,0.373,0
PED-00148,7.89,0.2864,media,238,0,1,0,0.764,0
PED-00149,21.97,0.5049,media,35,0,1,0,0.002,0
PED-00150,8.63,0.2345,alta,189,0,1,0,0.789,1
PED-00151,4.61,0.3432,baja,98,0,1,0,0.484,0
PED-00152,26.06,0.2141,media,171,0,0,0,0.562,0
PED-00153,9.28,0.0216,baja,63,0,1,0,0.464,0
PED-00154,12.16,0.1031,media,147,0,1,1,0.4,0
PED-00155,11.42,0.2329,media,214,1,0,0,0.138,0
PED-00156,16.45,0.1216,media,232,0,1,1,0.265,0
PED-00157,21.64,0.2998,media,136,0,0,0,0.25,0
PED-00158,6.1,0.1666,media,168,0,1,0,0.882,0
PED-00159,19.42,0.3434,baja,124,0,0,0,0.277,0
PED-00160,4.18,0.2514,media,77,0,0,0,0.845,0
PED-00161,2.37,0.0587,baja,37,0,1,1,0.734,1
PED-00162,3.93,0.3869,media,80,0,0,0,0.904,0
PED-00163,10.23,0.2851,baja,60,1,1,0,0.801,1
PED-00164,6.14,0.0844,baja,143,0,1,0,0.436,0
PED-00165,13.15,0.1814,alta,214,1,0,0,0.739,0
PED-00166,12.86,0.0909,alta,180,0,0,1,0.21,0
PED-00167,12.26,0.1609,baja,207,0,1,0,0.886,0
PED-00168,18.48,0.2599,alta,63,1,0,0,0.369,0
PED-00169,8.19,0.2298,alta,233,0,1,0,0.361,0
PED-00170,11.74,0.1254,baja,108,0,0,0,0.411,0
PED-00171,25.67,0.4092,baja,236,0,1,0,0.453,0
PED-00172,8.75,0.3937,media,50,0,0,0,0.242,0
PED-00173,11.69,0.2497,media,211,1,0,0,0.001,0
PED-00174,16.45,0.05,alta,118,1,1,0,0.627,1
PED-00175,13.57,0.1307,baja,117,0,1,1,0.069,0
PED-00176,13.47,0.0615,media,202,0,1,1,0.233,0
PED-00177,23.8,0.2833,baja,181,0,0,0,0.346,0
PED-00178,20.64,0.1516,baja,120,0,0,0,0.327,0
PED-00179,17.13,0.0395,media,128,1,0,0,0.667,0
PED-00180,19.21,0.2264,media,147,0,0,0,0.595,0
PED-00181,13.22,0.2548,baja,214,0,0,0,0.15,0
PED-00182,16.72,0.3275,media,229,0,0,0,0.849,0
PED-00183,7.25,0.0915,media,188,1,0,0,0.795,0
PED-00184,7.63,0.1048,baja,202,0,1,1,0.318,0
PED-00185,15.22,0.3231,baja,142,0,0,0,0.369,0
PED-00186,8.85,0.0391,baja,114,1,0,1,0.737,0
PED-00187,20.96,0.2763,alta,160,0,0,0,0.599,0
PED-00188,11.54,0.3305,media,164,0,1,0,0.548,0
PED-00189,7.43,0.1275,media,87,0,0,0,0.102,0
PED-00190,10.34,0.4359,media,225,1,0,0,0.366,0
PED-00191,6.11,0.1274,media,184,0,1,0,0.88,0
PED-00192,16.3,0.1284,baja,123,0,1,0,0.735,0
PED-00193,10.25,0.2511,media,164,1,1,0,0.69,1
PED-00194,9.94,0.121,alta,164,0,1,1,0.88,1
PED-00195,8.73,0.3117,media,123,1,1,0,0.228,0
PED-00196,21.42,0.0919,media,145,0,0,1,0.919,0
PED-00197,3.85,0.3512,baja,220,1,0,1,0.721,0
PED-00198,10.55,0.1751,baja,62,1,0,0,0.923,1
PED-00199,8.57,0.0609,media,170,0,1,0,0.031,0
PED-00200,8.61,0.2245,media,216,1,0,1,0.801,0
PED-00201,4.91,0.1517,media,172,0,1,0,0.594,0
PED-00202,13.94,0.4305,media,225,1,1,1,0.111,0
PED-00203,15.38,0.214,alta,39,1,1,1,0.829,1
PED-00204,14.57,0.2607,media,72,0,0,1,0.868,1
PED-00205,24.49,0.2919,baja,229,0,1,0,0.18,0
PED-00206,13.73,0.2893,media,36,0,1,0,0.503,1
PED-00207,8.71,0.1089,alta,116,1,1,1,0.079,1
PED-00208,8.44,0.1652,baja,74,1,0,0,0.282,0
PED-00209,3.38,0.0583,alta,210,0,1,1,0.958,0
PED-00210,2.23,0.3126,alta,105,0,0,1,0.22,0
PED-00211,14.13,0.2496,alta,124,0,0,0,0.463,1
PED-00212,9.42,0.0667,alta,123,0,1,1,0.768,0
PED-00213,5.55,0.1455,baja,210,0,1,0,0.22,0
PED-00214,7.08,0.2736,media,224,1,1,0,0.308,0
PED-00215,12.59,0.1384,media,96,0,1,0,0.919,1
PED-00216,6.92,0.3468,media,57,1,1,0,0.446,1
PED-00217,13.26,0.1197,media,52,1,1,0,0.474,1
PED-00218,9.63,0.3172,baja,178,0,1,0,0.005,0
PED-00219,17.41,0.1168,baja,230,0,1,1,0.863,0
PED-00220,6.81,0.5741,media,229,0,1,1,0.71,1
PED-00221,13.17,0.2594,media,139,1,1,0,0.094,0
PED-00222,10.22,0.1486,alta,127,0,0,0,0.526,1
PED-00223,7.35,0.1797,media,128,0,0,0,0.394,0
PED-00224,6.46,0.0958,baja,162,0,0,1,0.404,0
PED-00225,24.54,0.3239,alta,236,0,1,1,0.456,1
PED-00226,12.59,0.0418,alta,103,1,1,1,0.183,1
PED-00227,6.36,0.09,alta,120,1,0,0,0.247,0
PED-00228,4.55,0.0915,alta,68,0,1,0,0.099,0
PED-00229,8.14,0.3624,baja,197,0,1,0,0.615,0
PED-00230,23.7,0.1616,media,69,1,1,0,0.184,1
PED-00231,4.97,0.1721,alta,144,1,1,0,0.725,1
PED-00232,16.85,0.4646,media,225,0,1,1,0.967,0
PED-00233,21.11,0.157,media,39,0,0,0,0.314,0
PED-00234,12.24,0.0369,baja,163,0,0,0,0.917,0
PED-00235,6.59,0.1567,baja,228,1,1,0,0.866,0
PED-00236,24.21,0.4888,media,180,0,1,0,0.505,0
PED-00237,10.6,0.2899,media,134,0,0,1,0.745,0
PED-00238,18.8,0.4118,media,233,0,0,0,0.518,0
PED-00239,16.91,0.2484,media,201,0,0,0,0.892,1
PED-00240,23.89,0.2275,media,135,0,1,1,0.413,1
PED-00241,9.04,0.2563,alta,199,0,0,0,0.654,0
PED-00242,5.07,0.3418,media,63,1,0,0,0.624,0
PED-00243,16.81,0.0876,media,66,0,1,1,0.87,1
PED-00244,20.79,0.0761,media,136,1,1,1,0.566,1
PED-00245,13.13,0.1585,media,132,1,1,0,0.91,1
PED-00246,14.6,0.1403,baja,142,0,0,1,0.389,0
PED-00247,12.13,0.1761,media,87,0,1,0,0.334,0
PED-00248,7.29,0.0119,baja,116,0,1,0,0.079,0
PED-00249,5.91,0.2519,baja,187,0,0,0,0.756,1
PED-00250,3.6,0.1898,alta,89,0,0,0,0.927,0
PED-00251,8.71,0.1728,media,66,0,1,1,0.662,1
PED-00252,2.98,0.2763,media,127,0,0,1,0.554,0
PED-00253,22.26,0.1156,alta,202,1,1,0,0.186,1
PED-00254,10.39,0.2132,media,106,0,0,1,0.252,0
PED-00255,19.44,0.0765,baja,217,1,1,0,0.108,0
PED-00256,7.07,0.3415,media,228,0,0,0,0.93,0
PED-00257,21.94,0.1889,alta,128,0,1,0,0.746,1
PED-00258,12.32,0.0746,media,237,0,0,0,0.349,0
PED-00259,7.56,0.0908,media,158,1,0,0,0.872,0
PED-00260,13.16,0.1093,baja,76,0,0,0,0.199,0
PED-00261,11.63,0.1006,baja,169,1,0,0,0.881,0
PED-00262,5.88,0.3548,media,182,0,0,0,0.139,0
PED-00263,7.84,0.1008,alta,155,1,0,1,0.765,1
PED-00264,19.6,0.2997,alta,117,0,0,0,0.486,0
PED-00265,15.04,0.2591,alta,143,0,0,1,0.14,0
PED-00266,6.47,0.3967,baja,236,0,0,0,0.251,0
PED-00267,10.5,0.2861,media,112,1,1,0,0.809,1
PED-00268,11.42,0.2086,alta,235,0,1,0,0.096,0
PED-00269,5.98,0.2326,baja,103,0,0,0,0.819,0
PED-00270,8.08,0.1102,alta,234,0,1,0,0.125,0
PED-00271,12.73,0.0982,media,234,0,1,0,0.703,0
PED-00272,14.02,0.2669,baja,184,0,0,0,0.44,0
PED-00273,4.56,0.1958,media,45,0,0,1,0.28,0
PED-00274,12.5,0.4482,media,92,0,0,0,0.026,0
PED-00275,19.32,0.1071,baja,122,0,1,0,0.937,1
PED-00276,20.24,0.4249,baja,158,1,1,1,0.978,1
PED-00277,7.99,0.3054,alta,140,1,0,0,0.959,0
PED-00278,8.79,0.1017,baja,135,0,1,0,0.766,0
PED-00279,8.55,0.1152,media,202,1,0,0,0.569,0
PED-00280,11.81,0.2111,media,152,0,0,0,0.376,0
PED-00281,11.58,0.1064,media,229,0,1,0,0.303,0
PED-00282,3.82,0.323,media,176,0,1,0,0.912,0
PED-00283,14.15,0.3237,baja,218,0,0,0,0.585,0
PED-00284,11.5,0.507,alta,103,0,0,0,0.938,1
PED-00285,8.98,0.1309,baja,43,1,1,0,0.34,0
PED-00286,15.74,0.0522,media,62,1,1,1,0.616,1
PED-00287,19.89,0.205,baja,98,0,0,0,0.251,0
PED-00288,5.36,0.251,media,129,0,0,0,0.588,0
PED-00289,2.91,0.0609,baja,147,0,1,0,0.296,0
PED-00290,8.39,0.3265,baja,112,1,0,0,0.543,0
PED-00291,25.01,0.0981,alta,236,0,0,0,0.202,0
PED-00292,5.29,0.3834,media,151,0,0,1,0.333,0
PED-00293,3.44,0.4173,media,234,1,0,0,0.195,0
PED-00294,9.65,0.1016,baja,135,1,1,0,0.087,0
PED-00295,11.66,0.5191,baja,166,0,1,0,0.562,0
PED-00296,6.55,0.0297,media,201,1,0,1,0.546,1
PED-00297,4.37,0.2747,media,154,0,0,0,0.147,0
PED-00298,23.3,0.0872,media,48,1,0,0,0.517,0
PED-00299,3.59,0.1435,baja,48,0,0,0,0.814,0
PED-00300,9.47,0.1294,alta,60,1,1,0,0.892,1
PED-00301,14.06,0.1522,baja,159,0,0,0,0.077,0
PED-00302,9.9,0.488,alta,96,0,1,0,0.196,0
PED-00303,8.88,0.1244,media,158,1,0,1,0.188,0
PED-00304,8.49,0.2266,alta,37,1,1,0,0.384,0
PED-00305,9.52,0.1525,alta,137,0,0,0,0.689,1
PED-00306,12.09,0.1796,alta,36,0,0,0,0.716,0
PED-00307,20.75,0.0631,baja,126,0,0,0,0.316,0
PED-00308,5.82,0.1097,media,50,0,1,0,0.655,0
PED-00309,13.09,0.1316,baja,111,1,0,0,0.7,0
PED-00310,8.43,0.0675,media,130,0,0,0,0.773,0
PED-00311,9.65,0.2409,alta,85,1,0,0,0.528,1
PED-00312,20.77,0.4477,media,206,0,0,1,0.213,0
PED-00313,6.19,0.2778,media,73,1,1,1,0.245,1
PED-00314,2.81,0.4176,media,127,0,1,0,0.838,0
PED-00315,8.29,0.4857,media,231,0,1,0,0.424,0
PED-00316,17.45,0.108,media,205,1,1,1,0.724,1
PED-00317,14.92,0.4968,media,196,1,1,1,0.153,1
PED-00318,12.48,0.0848,baja,91,0,0,1,0.938,0
PED-00319,11.66,0.189,media,132,0,1,1,0.381,0
PED-00320,4.63,0.0711,alta,150,0,0,0,0.263,0
PED-00321,15.45,0.0799,media,106,1,1,0,0.247,0
PED-00322,9.85,0.1263,media,52,0,0,1,0.36,0
PED-00323,18.2,0.1806,media,178,0,0,0,0.47,0
PED-00324,8.32,0.1633,baja,113,0,1,0,0.714,0
PED-00325,7.89,0.5084,alta,112,0,0,0,0.959,1
PED-00326,8.7,0.0311,media,82,0,0,0,0.06,0
PED-00327,10.63,0.2739,media,55,1,1,1,0.712,1
PED-00328,27.08,0.0428,media,191,1,1,0,0.242,0
PED-00329,11.55,0.1815,alta,151,0,1,0,0.132,0
PED-00330,12.11,0.2066,alta,63,0,0,0,0.223,0
PED-00331,12.88,0.4617,media,183,0,1,0,0.54,0
PED-00332,7.81,0.0255,media,158,0,1,1,0.173,0
PED-00333,10.06,0.0337,alta,194,0,0,0,0.779,0
PED-00334,13.77,0.5351,media,88,1,1,0,0.198,1
PED-00335,11.47,0.151,alta,168,0,0,0,0.042,1
PED-00336,11.39,0.0814,media,174,1,0,0,0.653,0
PED-00337,9.14,0.4165,media,102,0,0,1,0.293,0
PED-00338,4.97,0.3537,alta,98,1,1,0,0.273,1
PED-00339,16.19,0.2847,media,180,0,0,0,0.378,0
PED-00340,24.46,0.0348,media,48,0,0,0,0.378,0
PED-00341,9.02,0.0907,alta,109,0,0,0,0.959,0
PED-00342,21.43,0.3698,media,212,0,1,0,0.943,1
PED-00343,5.99,0.0542,baja,200,0,1,1,0.123,0
PED-00344,12.59,0.1506,media,235,0,1,0,0.87,0
PED-00345,7.43,0.1957,media,239,0,1,0,0.494,0
PED-00346,14.01,0.3032,media,159,0,0,0,0.747,0
PED-00347,4.65,0.4176,media,203,0,0,0,0.372,0
PED-00348,25.53,0.2899,baja,110,0,1,0,0.086,0
PED-00349,25.08,0.1073,alta,127,1,0,1,0.058,0
PED-00350,13.01,0.1434,baja,171,0,0,1,0.948,0
PED-00351,22.67,0.2025,baja,194,0,0,0,0.003,0
PED-00352,22.87,0.0976,media,71,0,1,0,0.104,0
PED-00353,23.46,0.1598,alta,98,0,0,0,0.362,0
PED-00354,22.6,0.1498,baja,88,0,0,0,0.864,0
PED-00355,2.33,0.4332,media,82,1,0,0,0.323,0
PED-00356,17.12,0.281,baja,58,0,0,1,0.26,1
PED-00357,7.1,0.5656,baja,84,0,0,0,0.498,0
PED-00358,9.46,0.4012,media,227,0,1,0,0.601,0
PED-00359,11.68,0.2376,baja,158,0,0,0,0.081,1
PED-00360,6.3,0.3323,baja,153,0,1,0,0.546,0
PED-00361,7.56,0.1779,alta,51,0,0,0,0.723,0
PED-00362,15.13,0.1325,media,84,0,0,1,0.756,0
PED-00363,14.81,0.0505,media,202,1,0,0,0.295,0
PED-00364,8.26,0.2735,media,62,0,1,0,0.172,0
PED-00365,9.44,0.1947,alta,129,0,0,0,0.269,0
PED-00366,7.18,0.2454,alta,197,1,1,1,0.045,0
PED-00367,6.31,0.4199,baja,69,1,0,0,0.841,0
PED-00368,17.57,0.3045,alta,172,0,0,0,0.954,1
PED-00369,12.86,0.2737,baja,113,0,1,0,0.881,1
PED-00370,6.87,0.1776,media,137,0,0,0,0.754,0
PED-00371,5.68,0.1948,baja,108,1,0,1,0.427,0
PED-00372,8.48,0.1847,baja,234,0,1,1,0.97,1
PED-00373,6.2,0.2667,alta,71,0,0,0,0.606,0
PED-00374,10.71,0.2816,media,116,0,0,0,0.34,0
PED-00375,8.52,0.1412,media,157,0,1,0,0.171,0
PED-00376,5.89,0.2097,baja,185,0,0,0,0.062,0
PED-00377,17.59,0.3352,baja,213,0,0,0,0.795,0
PED-00378,25.73,0.0766,media,213,0,0,1,0.009,0
PED-00379,12.53,0.1621,alta,95,0,0,0,0.71,0
PED-00380,13.37,0.2257,alta,200,1,0,0,0.673,0
PED-00381,5.92,0.1125,media,157,0,1,1,0.005,0
PED-00382,18.67,0.0978,media,125,0,0,0,0.744,0
PED-00383,5.86,0.1038,baja,135,0,0,0,0.199,0
PED-00384,8.31,0.4354,media,97,1,0,1,0.812,1
PED-00385,6.99,0.3492,alta,184,1,0,0,0.706,0
PED-00386,18.68,0.178,media,71,0,0,0,0.702,0
PED-00387,14.21,0.0989,alta,117,0,1,0,0.364,1
PED-00388,5.54,0.2978,alta,226,0,0,0,0.696,0
PED-00389,13.51,0.1519,media,238,0,1,0,0.71,0
PED-00390,15.45,0.3114,alta,92,0,0,1,0.685,1
PED-00391,5.78,0.0315,alta,213,0,1,1,0.432,1
PED-00392,4.2,0.0967,media,162,1,0,0,0.089,0
PED-00393,10.36,0.3727,alta,133,1,0,0,0.257,0
PED-00394,8.11,0.0679,media,121,0,0,0,0.765,0
PED-00395,9.0,0.122,media,43,0,1,0,0.623,0
PED-00396,6.58,0.1882,baja,116,0,0,0,0.784,0
PED-00397,11.18,0.2632,media,168,0,1,0,0.435,0
PED-00398,11.68,0.1491,alta,38,0,0,0,0.852,1
PED-00399,15.58,0.174,alta,142,0,1,0,0.04,0
PED-00400,3.74,0.3073,alta,110,1,0,0,0.5,0
PED-00401,15.65,0.0485,alta,216,0,1,1,0.518,0
PED-00402,3.47,0.5298,alta,63,1,0,0,0.495,1
PED-00403,17.94,0.232,media,229,0,0,0,0.327,0
PED-00404,7.37,0.188,baja,71,0,1,0,0.713,0
PED-00405,4.07,0.148,alta,142,1,1,0,0.765,0
PED-00406,15.06,0.216,alta,123,1,1,1,0.77,1
PED-00407,17.87,0.2568,media,183,0,0,0,0.021,0
PED-00408,3.06,0.25,alta,122,0,0,0,0.089,0
PED-00409,18.21,0.0652,media,126,1,0,0,0.497,0
PED-00410,11.22,0.1772,media,111,0,1,0,0.238,0
PED-00411,11.48,0.2726,baja,175,1,0,0,0.512,0
PED-00412,14.5,0.0703,alta,132,1,1,1,0.552,1
PED-00413,16.31,0.4307,media,190,0,1,0,0.348,0
PED-00414,16.38,0.0701,baja,86,1,1,1,0.109,1
PED-00415,15.19,0.1568,media,88,0,1,0,0.218,0
PED-00416,8.27,0.2382,media,74,0,0,0,0.093,0
PED-00417,9.25,0.5681,alta,148,0,1,1,0.913,1
PED-00418,17.26,0.1032,media,209,1,0,0,0.031,0
PED-00419,16.64,0.1051,media,190,0,0,0,0.744,0
PED-00420,18.4,0.2714,media,231,1,0,1,0.357,0
PED-00421,5.4,0.2026,baja,212,0,0,0,0.712,1
PED-00422,7.08,0.0689,media,200,1,0,0,0.07,0
PED-00423,4.59,0.2024,media,34,0,0,0,0.054,0
PED-00424,26.23,0.3345,media,159,1,1,0,0.801,1
PED-00425,10.48,0.0339,media,176,0,0,0,0.433,0
PED-00426,12.19,0.1631,media,133,1,0,0,0.509,0
PED-00427,8.78,0.1299,baja,54,1,1,0,0.494,1
PED-00428,8.06,0.0757,media,54,1,0,0,0.856,0
PED-00429,19.86,0.099,media,63,0,1,0,0.756,1
PED-00430,16.35,0.1114,baja,101,0,0,1,0.833,0
PED-00431,13.0,0.2176,baja,131,0,0,0,0.139,0
PED-00432,5.3,0.4236,baja,202,0,0,0,0.985,0
PED-00433,8.85,0.1263,media,169,1,1,0,0.72,0
PED-00434,14.11,0.329,alta,231,1,1,0,0.096,0
PED-00435,28.66,0.364,media,145,0,0,0,0.493,1
PED-00436,16.94,0.145,alta,135,0,0,0,0.43,0
PED-00437,6.12,0.4897,media,60,0,0,1,0.914,1
PED-00438,24.31,0.1804,media,76,0,1,0,0.426,0
PED-00439,3.68,0.0704,media,97,1,1,1,0.28,1
PED-00440,7.69,0.187,alta,185,1,0,0,0.231,0
PED-00441,6.37,0.132,media,153,1,0,0,0.848,1
